Country,City,Charging_Station_ID,Charging_Station_Type,EV_Model,Manufacturer,Battery_Capacity_kWh,Charging_Start_Time,Charging_End_Time,Charging_Duration_mins,Energy_Delivered_kWh,Charging_Cost_$,Payment_Method,Temperature,Charging_Session_Outcome,Station_Utilization_Rate
USA,San Francisco,CS-4468,Level 1,Porsche Taycan,Porsche,93,10-Mar-25,10-Mar-25,147,72.33,28.12,App,12.6,Aborted,71.9
China,Shanghai,CS-7273,DC Fast,BMW i3,BMW,42,15-Feb-25,15-Feb-25,123,15.89,5.97,Subscription,31.1,Aborted,76.4
Norway,Oslo,CS-6313,DC Fast,Renault Zoe,Renault,52,9-Mar-25,9-Mar-25,43,13.45,3.71,Subscription,0.4,Aborted,35.9
USA,New York,CS-8721,Level 2,Kia EV6,Kia,77,15-Feb-25,15-Feb-25,166,69.56,25.65,Card,5,Failed,61.9
UK,Birmingham,CS-2017,Level 2,Nissan Leaf,Nissan,40,31-Mar-25,31-Mar-25,38,9,2.11,Card,16,Aborted,68.1
Japan,Yokohama,CS-2422,Level 1,BMW i3,BMW,42,7-Apr-25,7-Apr-25,111,25.36,2.87,App,17.6,Failed,79
UK,London,CS-4165,Level 2,BMW i3,BMW,42,27-Feb-25,27-Feb-25,28,20.52,3.96,App,20.1,Completed,81.9
France,Paris,CS-2754,Level 2,BYD Han,BYD,76,13-Jan-25,13-Jan-25,79,5.87,1.46,Subscription,27.3,Failed,80.6
France,Paris,CS-3725,DC Fast,BYD Han,BYD,76,7-Mar-25,7-Mar-25,136,37.22,8.66,Subscription,-4.7,Failed,32.2
Japan,Tokyo,CS-9471,Level 1,Tesla Model 3,Tesla,60,21-Mar-25,21-Mar-25,62,13.15,3.89,Card,29.2,Failed,56.2
Australia,Melbourne,CS-7156,Level 1,Audi e-tron,Audi,95,14-Mar-25,14-Mar-25,37,9.41,2.12,Card,21.9,Failed,62.9
Australia,Brisbane,CS-6218,Level 2,Renault Zoe,Renault,52,9-Mar-25,10-Mar-25,60,50.42,16.38,Card,-1.3,Aborted,35.8
Canada,Toronto,CS-3982,Level 1,Porsche Taycan,Porsche,93,6-Apr-25,6-Apr-25,155,10.71,2.58,Subscription,29.4,Aborted,52.2
Japan,Tokyo,CS-4814,DC Fast,Chevy Bolt,Chevrolet,66,22-Jan-25,22-Jan-25,171,8.55,2.32,Subscription,34.5,Aborted,67.9
Australia,Brisbane,CS-9600,DC Fast,Hyundai Kona Electric,Hyundai,64,6-Feb-25,6-Feb-25,124,40.92,7.98,Subscription,34.8,Aborted,84.2
Australia,Brisbane,CS-6394,Level 1,Kia EV6,Kia,77,13-Mar-25,13-Mar-25,148,57.5,14.34,Subscription,4.3,Aborted,88.3
USA,New York,CS-5162,Level 1,Tesla Model 3,Tesla,60,10-Jan-25,10-Jan-25,134,39.4,5.33,Subscription,35,Aborted,13.6
India,Bangalore,CS-5828,Level 2,Chevy Bolt,Chevrolet,66,14-Jan-25,14-Jan-25,17,44.08,13.53,Card,7.3,Failed,54
USA,New York,CS-4891,Level 1,Audi e-tron,Audi,95,1-Feb-25,1-Feb-25,102,40.64,11,Card,2.8,Aborted,83.8
Norway,Bergen,CS-9061,Level 2,Tesla Model 3,Tesla,60,2-Apr-25,2-Apr-25,180,12.47,1.83,Subscription,30.8,Aborted,72.7
Canada,Montreal,CS-3886,Level 2,Tesla Model 3,Tesla,60,8-Jan-25,8-Jan-25,148,21.46,6.81,Subscription,16.4,Completed,56.2
India,Delhi,CS-9410,Level 2,Nissan Leaf,Nissan,40,8-Mar-25,8-Mar-25,53,14.82,1.62,Subscription,16.4,Completed,55.7
Canada,Toronto,CS-4593,DC Fast,BYD Han,BYD,76,26-Mar-25,26-Mar-25,44,66.39,21.61,App,23.4,Aborted,43.1
Norway,Oslo,CS-5922,DC Fast,Audi e-tron,Audi,95,11-Mar-25,11-Mar-25,130,79.65,15.2,App,2,Aborted,72.8
France,Paris,CS-8609,DC Fast,Kia EV6,Kia,77,20-Feb-25,20-Feb-25,144,6.8,1.66,Card,2.6,Aborted,68.6
Japan,Osaka,CS-3179,DC Fast,Audi e-tron,Audi,95,7-Mar-25,7-Mar-25,51,74.25,9.61,Subscription,34.7,Completed,68
Norway,Bergen,CS-3157,DC Fast,Renault Zoe,Renault,52,26-Feb-25,26-Feb-25,44,5.19,1.97,Subscription,29.9,Aborted,47.4
USA,New York,CS-7320,DC Fast,Renault Zoe,Renault,52,2-Feb-25,2-Feb-25,94,6.06,1.98,Card,7.8,Completed,32.9
Japan,Osaka,CS-7427,Level 1,Kia EV6,Kia,77,11-Mar-25,11-Mar-25,45,24.63,3.63,Card,33.3,Failed,51.1
France,Nice,CS-8515,DC Fast,Audi e-tron,Audi,95,13-Mar-25,13-Mar-25,155,33.66,4.8,App,18,Completed,15.7
Australia,Melbourne,CS-3987,DC Fast,Renault Zoe,Renault,52,14-Feb-25,14-Feb-25,128,7.38,0.8,Card,-0.8,Completed,16.9
Canada,Toronto,CS-6248,Level 2,BYD Han,BYD,76,29-Mar-25,29-Mar-25,166,49.69,15.26,Subscription,9.2,Aborted,75.4
Japan,Tokyo,CS-9044,DC Fast,Kia EV6,Kia,77,11-Feb-25,11-Feb-25,160,14.49,4.98,App,-1.1,Aborted,64.8
Norway,Bergen,CS-2058,Level 2,Chevy Bolt,Chevrolet,66,4-Mar-25,5-Mar-25,72,13.77,5.08,App,10.7,Failed,83.4
India,Delhi,CS-8860,Level 2,Kia EV6,Kia,77,20-Feb-25,20-Feb-25,139,7.18,1.74,App,13.4,Completed,32.6
India,Bangalore,CS-5792,DC Fast,BYD Han,BYD,76,29-Mar-25,29-Mar-25,47,41.06,9.1,Card,8,Failed,15.7
China,Shenzhen,CS-2090,Level 1,Kia EV6,Kia,77,15-Jan-25,15-Jan-25,117,47.52,8.15,Subscription,1.4,Aborted,40.7
India,Mumbai,CS-8891,Level 2,BYD Han,BYD,76,28-Feb-25,28-Feb-25,125,60.69,14,Subscription,22.8,Completed,63
Germany,Hamburg,CS-6262,Level 2,BYD Han,BYD,76,16-Feb-25,16-Feb-25,139,13.12,3.66,Subscription,-1.1,Aborted,24.1
Canada,Toronto,CS-7984,Level 2,BYD Han,BYD,76,11-Mar-25,11-Mar-25,42,53.67,14.97,App,14.8,Failed,14.9
France,Paris,CS-1443,DC Fast,BYD Han,BYD,76,25-Feb-25,25-Feb-25,177,62.5,20.45,Card,13.1,Aborted,41.2
Australia,Melbourne,CS-8814,DC Fast,Chevy Bolt,Chevrolet,66,2-Apr-25,2-Apr-25,67,46.57,9.08,Subscription,7.2,Aborted,67.4
India,Mumbai,CS-6221,Level 1,BYD Han,BYD,76,26-Feb-25,26-Feb-25,17,48.42,12.26,App,-2.5,Failed,87.4
USA,San Francisco,CS-3277,Level 1,Renault Zoe,Renault,52,26-Jan-25,26-Jan-25,106,10.16,1.88,Card,12.3,Failed,41.5
India,Bangalore,CS-5039,DC Fast,Porsche Taycan,Porsche,93,24-Mar-25,24-Mar-25,118,38.58,10.17,Card,14,Completed,54.4
India,Delhi,CS-8829,Level 1,BMW i3,BMW,42,11-Mar-25,11-Mar-25,88,41.91,12.62,Card,-2.1,Completed,21.5
Norway,Trondheim,CS-3366,Level 2,Porsche Taycan,Porsche,93,20-Jan-25,20-Jan-25,49,12.45,3.64,App,30.7,Failed,58.4
Canada,Montreal,CS-8607,Level 2,BMW i3,BMW,42,23-Mar-25,23-Mar-25,131,23.85,6.33,App,9.2,Completed,44
USA,San Francisco,CS-1270,DC Fast,Kia EV6,Kia,77,29-Jan-25,29-Jan-25,75,56.27,10.17,Subscription,9.7,Completed,55.5
India,Mumbai,CS-2440,DC Fast,BYD Han,BYD,76,24-Jan-25,25-Jan-25,138,73.28,9.09,Subscription,16.1,Aborted,47.2
Germany,Hamburg,CS-8265,DC Fast,BYD Han,BYD,76,18-Feb-25,18-Feb-25,37,22.41,6.48,Subscription,-1.9,Failed,53.1
Australia,Melbourne,CS-1717,Level 1,BYD Han,BYD,76,27-Feb-25,27-Feb-25,28,69.15,18.01,App,13.2,Aborted,55.9
India,Delhi,CS-4574,DC Fast,Audi e-tron,Audi,95,21-Jan-25,21-Jan-25,90,31.03,3.43,Subscription,7.2,Failed,30.8
Norway,Trondheim,CS-2198,DC Fast,BMW i3,BMW,42,13-Feb-25,13-Feb-25,161,6.91,2.74,Subscription,-3.9,Aborted,16.6
Japan,Tokyo,CS-7920,Level 2,Hyundai Kona Electric,Hyundai,64,21-Mar-25,21-Mar-25,79,12.82,2.36,Card,24.7,Failed,24
Australia,Brisbane,CS-1274,DC Fast,BMW i3,BMW,42,30-Mar-25,30-Mar-25,129,18.68,2.85,Card,14.4,Failed,79
India,Mumbai,CS-6458,Level 2,BMW i3,BMW,42,21-Feb-25,21-Feb-25,167,39.56,5.79,App,25.8,Completed,62.9
UK,London,CS-6215,Level 1,BYD Han,BYD,76,9-Feb-25,9-Feb-25,103,8.86,1.59,Card,1.7,Aborted,48.1
Norway,Trondheim,CS-3541,Level 2,Renault Zoe,Renault,52,21-Mar-25,21-Mar-25,74,22.85,7.12,App,0.8,Aborted,10.9
Norway,Bergen,CS-4380,DC Fast,Audi e-tron,Audi,95,18-Mar-25,18-Mar-25,150,66.46,7.46,Subscription,9.2,Aborted,58.8
China,Shanghai,CS-4833,DC Fast,Hyundai Kona Electric,Hyundai,64,25-Feb-25,25-Feb-25,83,52.34,9.24,App,13.4,Failed,69.9
Australia,Sydney,CS-4659,Level 2,Renault Zoe,Renault,52,11-Jan-25,11-Jan-25,101,36.85,14.66,Subscription,-4.6,Completed,76.5
USA,Los Angeles,CS-5998,Level 1,Nissan Leaf,Nissan,40,5-Apr-25,5-Apr-25,149,8.64,2.02,Subscription,6.3,Completed,12.7
Australia,Sydney,CS-8383,DC Fast,Tesla Model 3,Tesla,60,26-Mar-25,27-Mar-25,167,41.11,14.41,Subscription,-0.1,Completed,16.9
Australia,Sydney,CS-3135,Level 1,Porsche Taycan,Porsche,93,15-Mar-25,15-Mar-25,180,54.81,21.38,Subscription,2.4,Aborted,47.4
Germany,Hamburg,CS-4781,DC Fast,Kia EV6,Kia,77,7-Feb-25,7-Feb-25,85,60.39,18.58,App,5.3,Completed,32.2
USA,Los Angeles,CS-1962,Level 2,Porsche Taycan,Porsche,93,9-Mar-25,9-Mar-25,100,92.64,16.44,Card,12.6,Aborted,88.4
France,Nice,CS-6939,DC Fast,Porsche Taycan,Porsche,93,29-Jan-25,29-Jan-25,60,61.8,8.19,App,3.7,Failed,18.5
Norway,Trondheim,CS-7190,DC Fast,Hyundai Kona Electric,Hyundai,64,24-Feb-25,24-Feb-25,41,7.06,0.86,App,26.1,Completed,81.7
UK,Birmingham,CS-8363,DC Fast,Tesla Model 3,Tesla,60,3-Feb-25,3-Feb-25,24,41.55,7.48,App,31.2,Failed,10.3
Norway,Bergen,CS-4710,Level 1,Porsche Taycan,Porsche,93,2-Mar-25,2-Mar-25,118,79.28,26.5,Subscription,4,Aborted,86.3
Norway,Oslo,CS-7498,DC Fast,BYD Han,BYD,76,17-Mar-25,17-Mar-25,152,71.39,14.83,App,11,Failed,89.8
Germany,Munich,CS-4475,Level 2,Renault Zoe,Renault,52,27-Feb-25,28-Feb-25,102,8.78,2.09,Subscription,3.1,Failed,13.1
Canada,Montreal,CS-4240,DC Fast,Chevy Bolt,Chevrolet,66,19-Mar-25,19-Mar-25,91,47.45,17.51,Subscription,9.4,Completed,80.8
Norway,Trondheim,CS-7325,DC Fast,Chevy Bolt,Chevrolet,66,1-Apr-25,1-Apr-25,50,7.18,0.77,Card,14.6,Completed,73.4
China,Shanghai,CS-5595,Level 2,Renault Zoe,Renault,52,12-Feb-25,12-Feb-25,130,50.43,5.29,Card,8.5,Failed,13.4
Germany,Berlin,CS-2556,DC Fast,Renault Zoe,Renault,52,3-Mar-25,3-Mar-25,132,49.18,17.76,Card,24.6,Completed,84
USA,San Francisco,CS-7041,DC Fast,BMW i3,BMW,42,12-Feb-25,12-Feb-25,140,29.19,7.05,Card,4.7,Failed,20.4
UK,Birmingham,CS-3233,DC Fast,Tesla Model 3,Tesla,60,31-Jan-25,31-Jan-25,93,50.14,6.48,Card,28.4,Completed,75.4
Germany,Berlin,CS-7800,Level 1,Kia EV6,Kia,77,8-Jan-25,8-Jan-25,167,62.54,10.39,App,8.5,Failed,64.3
India,Mumbai,CS-5839,Level 1,BYD Han,BYD,76,31-Jan-25,31-Jan-25,154,14.75,5.18,Card,18.7,Aborted,15.1
China,Beijing,CS-9905,Level 2,Porsche Taycan,Porsche,93,5-Feb-25,5-Feb-25,58,66.27,17.63,Card,32,Completed,20.7
Australia,Melbourne,CS-9525,Level 1,BMW i3,BMW,42,18-Mar-25,18-Mar-25,19,37.55,4.66,Card,32,Failed,62.1
China,Shanghai,CS-4566,DC Fast,Kia EV6,Kia,77,9-Feb-25,9-Feb-25,47,19.84,5.79,App,11.5,Completed,58.8
USA,San Francisco,CS-4897,Level 2,BMW i3,BMW,42,24-Feb-25,24-Feb-25,142,27.65,3.5,App,11.8,Failed,28.9
Germany,Hamburg,CS-4273,DC Fast,Nissan Leaf,Nissan,40,3-Mar-25,3-Mar-25,173,17.67,5.8,Subscription,3.8,Failed,62.7
China,Beijing,CS-7662,Level 2,Chevy Bolt,Chevrolet,66,9-Jan-25,9-Jan-25,43,53.59,16.38,App,2.1,Failed,83.8
USA,San Francisco,CS-3354,DC Fast,Audi e-tron,Audi,95,22-Feb-25,22-Feb-25,87,23.86,4.19,App,-3.3,Failed,14.2
Japan,Tokyo,CS-6322,Level 1,BMW i3,BMW,42,23-Mar-25,23-Mar-25,22,22.95,3.09,Subscription,12.8,Failed,36.1
France,Nice,CS-8427,Level 1,Audi e-tron,Audi,95,28-Feb-25,28-Feb-25,73,75.11,14.86,Card,24.5,Completed,40
France,Paris,CS-3411,Level 1,Kia EV6,Kia,77,21-Mar-25,21-Mar-25,164,39.88,14.64,Card,32.1,Aborted,24.2
India,Mumbai,CS-6712,Level 1,Kia EV6,Kia,77,21-Feb-25,21-Feb-25,64,50.51,19.83,App,0.1,Failed,55.5
China,Beijing,CS-9581,Level 2,Nissan Leaf,Nissan,40,31-Mar-25,31-Mar-25,134,21.05,3.19,Card,30.5,Failed,22.5
Australia,Sydney,CS-6339,DC Fast,BYD Han,BYD,76,9-Mar-25,9-Mar-25,156,65.71,8.28,App,29.5,Completed,57.3
Norway,Bergen,CS-6784,Level 2,Tesla Model 3,Tesla,60,9-Mar-25,9-Mar-25,124,45.49,7.92,App,18.2,Failed,85.7
Australia,Sydney,CS-4452,DC Fast,Porsche Taycan,Porsche,93,26-Feb-25,26-Feb-25,26,8.53,2.06,Card,12,Aborted,48.3
Germany,Munich,CS-7956,DC Fast,Kia EV6,Kia,77,4-Mar-25,4-Mar-25,76,10.98,3.58,Subscription,11.3,Completed,20.6
China,Beijing,CS-9590,DC Fast,Nissan Leaf,Nissan,40,30-Mar-25,30-Mar-25,19,21.79,4.17,App,29.3,Failed,56.7
Norway,Bergen,CS-3689,DC Fast,BMW i3,BMW,42,25-Mar-25,25-Mar-25,118,11.84,4.28,App,23.2,Completed,78.8
Germany,Munich,CS-7244,Level 2,Audi e-tron,Audi,95,25-Mar-25,25-Mar-25,150,7.94,1.81,Subscription,32.8,Failed,56
France,Nice,CS-7653,Level 1,Nissan Leaf,Nissan,40,10-Jan-25,10-Jan-25,173,35.83,11.49,Subscription,32.8,Failed,39.1
USA,New York,CS-5761,Level 2,Porsche Taycan,Porsche,93,10-Feb-25,11-Feb-25,108,45.95,5.16,Card,20.9,Failed,15.4
France,Paris,CS-2073,DC Fast,Audi e-tron,Audi,95,4-Feb-25,4-Feb-25,76,53.57,15.79,Subscription,29.8,Failed,26.8
France,Lyon,CS-3645,Level 1,Audi e-tron,Audi,95,26-Jan-25,26-Jan-25,83,50.32,11.42,Card,9.9,Aborted,48.9
Japan,Tokyo,CS-8404,Level 2,Kia EV6,Kia,77,23-Jan-25,23-Jan-25,151,53.84,13.99,App,19.8,Failed,85.6
Germany,Berlin,CS-7774,Level 2,Kia EV6,Kia,77,29-Mar-25,29-Mar-25,37,10.77,3.98,Card,-0.6,Aborted,19
UK,Manchester,CS-6182,Level 2,BMW i3,BMW,42,25-Mar-25,25-Mar-25,67,24.27,6.99,App,33.8,Failed,84.5
Norway,Bergen,CS-4852,Level 1,Porsche Taycan,Porsche,93,18-Mar-25,18-Mar-25,128,69.92,7.44,Card,-4.1,Completed,76.8
Japan,Yokohama,CS-8455,Level 2,Audi e-tron,Audi,95,20-Mar-25,21-Mar-25,120,57.08,16.94,App,18.7,Failed,52.4
Japan,Osaka,CS-6561,Level 2,Kia EV6,Kia,77,26-Mar-25,26-Mar-25,92,45.84,16.94,Card,26.6,Completed,48.7
China,Beijing,CS-9673,DC Fast,BMW i3,BMW,42,6-Feb-25,6-Feb-25,105,15.52,6,Card,23.5,Aborted,24.6
UK,Birmingham,CS-4755,Level 2,BMW i3,BMW,42,7-Apr-25,7-Apr-25,56,13.8,1.55,Subscription,0.1,Aborted,39.6
France,Nice,CS-3180,Level 2,Tesla Model 3,Tesla,60,1-Mar-25,1-Mar-25,96,58.79,8.49,Subscription,34,Failed,34.1
USA,Los Angeles,CS-7223,Level 1,Kia EV6,Kia,77,31-Mar-25,31-Mar-25,52,73.24,27.71,Card,33.8,Failed,88
India,Bangalore,CS-5917,DC Fast,Hyundai Kona Electric,Hyundai,64,13-Jan-25,13-Jan-25,136,57.86,22.62,Subscription,0.9,Failed,68.3
Norway,Bergen,CS-6123,DC Fast,Nissan Leaf,Nissan,40,19-Jan-25,19-Jan-25,137,36.51,5.18,Card,7.3,Aborted,59.4
France,Lyon,CS-8285,Level 1,Audi e-tron,Audi,95,4-Apr-25,4-Apr-25,38,34.37,9.71,Subscription,16.1,Aborted,25.7
Germany,Hamburg,CS-9199,Level 2,Kia EV6,Kia,77,22-Feb-25,22-Feb-25,37,75.26,16.43,App,19.1,Failed,85.5
India,Delhi,CS-9434,Level 2,BMW i3,BMW,42,28-Mar-25,29-Mar-25,124,18.68,3.96,App,9.1,Aborted,79.9
Germany,Berlin,CS-6066,DC Fast,Kia EV6,Kia,77,11-Jan-25,11-Jan-25,121,62.87,11.73,App,24.1,Aborted,21.2
Australia,Brisbane,CS-5630,DC Fast,Nissan Leaf,Nissan,40,31-Mar-25,31-Mar-25,51,12.27,2.97,App,-2.4,Failed,70.5
Germany,Berlin,CS-2038,DC Fast,Porsche Taycan,Porsche,93,29-Jan-25,29-Jan-25,178,85.47,19.18,App,23.4,Completed,25.9
Canada,Vancouver,CS-3313,DC Fast,Renault Zoe,Renault,52,1-Mar-25,1-Mar-25,140,6.98,2.43,App,14.8,Failed,47.1
USA,New York,CS-6481,DC Fast,BMW i3,BMW,42,14-Feb-25,14-Feb-25,82,16.11,4.71,App,0,Failed,81.4
Canada,Toronto,CS-4543,Level 2,Kia EV6,Kia,77,19-Feb-25,19-Feb-25,180,22.62,3.07,App,34.8,Completed,57.9
India,Bangalore,CS-7359,DC Fast,Kia EV6,Kia,77,7-Apr-25,7-Apr-25,159,36.4,6.46,App,34,Completed,39.9
Australia,Sydney,CS-8220,Level 2,Hyundai Kona Electric,Hyundai,64,24-Mar-25,24-Mar-25,56,39.32,5.66,Subscription,0.4,Completed,14.2
India,Delhi,CS-9670,Level 1,Audi e-tron,Audi,95,14-Feb-25,14-Feb-25,27,31.09,8.05,Subscription,2.8,Failed,24.7
Germany,Hamburg,CS-7494,DC Fast,BMW i3,BMW,42,19-Mar-25,19-Mar-25,154,16.94,3.3,App,5.9,Failed,65.1
Germany,Hamburg,CS-6255,DC Fast,BYD Han,BYD,76,1-Mar-25,1-Mar-25,105,63.46,6.59,App,9.9,Aborted,43
UK,London,CS-3186,DC Fast,Chevy Bolt,Chevrolet,66,6-Feb-25,6-Feb-25,54,35.71,12.48,Subscription,22.6,Failed,77.7
Japan,Yokohama,CS-7269,Level 1,Nissan Leaf,Nissan,40,16-Mar-25,17-Mar-25,121,21.12,2.6,Card,14.2,Aborted,65.3
UK,Manchester,CS-6505,DC Fast,BYD Han,BYD,76,20-Jan-25,20-Jan-25,148,59.21,12,App,-3.8,Completed,27.8
UK,Birmingham,CS-4743,Level 1,Chevy Bolt,Chevrolet,66,22-Jan-25,22-Jan-25,93,12.65,1.76,App,22.6,Completed,16.2
Norway,Bergen,CS-3485,DC Fast,Tesla Model 3,Tesla,60,6-Mar-25,6-Mar-25,65,10.93,3.69,Subscription,-2.6,Completed,82.7
USA,New York,CS-4810,DC Fast,Hyundai Kona Electric,Hyundai,64,23-Mar-25,23-Mar-25,17,49.52,16.57,Card,18.5,Completed,24.8
India,Mumbai,CS-9796,DC Fast,Nissan Leaf,Nissan,40,27-Mar-25,27-Mar-25,52,34.61,13.24,App,9.1,Failed,72.5
Australia,Sydney,CS-6921,Level 1,Renault Zoe,Renault,52,17-Mar-25,17-Mar-25,160,8.21,2.84,Subscription,3.7,Completed,87.1
UK,Birmingham,CS-7198,DC Fast,Tesla Model 3,Tesla,60,14-Jan-25,14-Jan-25,40,55.83,21,App,9.7,Failed,24.8
Germany,Berlin,CS-9749,Level 2,Audi e-tron,Audi,95,23-Mar-25,23-Mar-25,112,43.17,10.98,Card,25.5,Aborted,19.9
Germany,Hamburg,CS-2368,DC Fast,BMW i3,BMW,42,18-Mar-25,18-Mar-25,141,33.2,10.34,Subscription,-3.4,Aborted,49.5
Canada,Vancouver,CS-2480,Level 2,Kia EV6,Kia,77,22-Mar-25,22-Mar-25,168,58,17.75,Card,17.2,Aborted,88.8
Canada,Toronto,CS-3476,Level 1,Nissan Leaf,Nissan,40,17-Feb-25,17-Feb-25,136,37.87,7.96,Subscription,14.7,Completed,41.7
Japan,Yokohama,CS-7355,DC Fast,Nissan Leaf,Nissan,40,27-Jan-25,27-Jan-25,45,10.02,2.21,Card,24.7,Completed,15.2
France,Lyon,CS-8909,Level 1,Chevy Bolt,Chevrolet,66,20-Mar-25,20-Mar-25,167,56.49,12.5,App,24,Aborted,71.2
Australia,Brisbane,CS-7719,DC Fast,Hyundai Kona Electric,Hyundai,64,16-Feb-25,16-Feb-25,179,60.65,12.54,Subscription,33,Aborted,50.9
UK,Manchester,CS-9178,DC Fast,Nissan Leaf,Nissan,40,31-Jan-25,31-Jan-25,46,13.77,3.43,Card,-3.8,Failed,14.2
Germany,Munich,CS-6076,Level 1,Tesla Model 3,Tesla,60,27-Jan-25,27-Jan-25,60,26.04,7.91,App,19.9,Completed,70.8
Japan,Osaka,CS-9066,DC Fast,Kia EV6,Kia,77,22-Mar-25,22-Mar-25,66,26.14,6.52,App,16.7,Failed,53.7
USA,Los Angeles,CS-3950,Level 2,Nissan Leaf,Nissan,40,5-Mar-25,5-Mar-25,113,20.75,7.38,App,-3.6,Completed,54.5
China,Shenzhen,CS-8862,Level 2,BMW i3,BMW,42,5-Apr-25,5-Apr-25,140,20.94,4.06,App,25.6,Failed,64
Japan,Yokohama,CS-2929,Level 1,Renault Zoe,Renault,52,24-Jan-25,24-Jan-25,161,27.08,7.28,Subscription,-2.8,Aborted,49.6
Canada,Montreal,CS-4729,Level 1,Audi e-tron,Audi,95,22-Feb-25,22-Feb-25,87,33.84,3.67,Card,28.5,Aborted,74.8
Australia,Sydney,CS-9092,Level 2,Audi e-tron,Audi,95,31-Mar-25,31-Mar-25,112,13.76,2.8,App,9.1,Failed,29.5
France,Nice,CS-3482,Level 2,Hyundai Kona Electric,Hyundai,64,25-Feb-25,25-Feb-25,166,10.01,3.07,Card,8.5,Completed,53.1
USA,Los Angeles,CS-4064,Level 1,Porsche Taycan,Porsche,93,1-Feb-25,1-Feb-25,160,50.3,11.39,Subscription,13.8,Completed,88.9
Canada,Montreal,CS-6302,Level 1,Porsche Taycan,Porsche,93,7-Apr-25,7-Apr-25,97,55.38,18.97,Subscription,22,Aborted,49.7
India,Mumbai,CS-4709,Level 2,BYD Han,BYD,76,18-Jan-25,18-Jan-25,91,30.8,7.11,Subscription,28.9,Completed,77.2
Japan,Tokyo,CS-2172,Level 2,Hyundai Kona Electric,Hyundai,64,16-Jan-25,16-Jan-25,82,7.8,3.11,Card,20,Completed,67.4
Australia,Sydney,CS-7652,DC Fast,BYD Han,BYD,76,17-Jan-25,17-Jan-25,101,24.41,6.59,App,12.1,Aborted,73.7
China,Shenzhen,CS-9836,Level 2,Hyundai Kona Electric,Hyundai,64,14-Jan-25,14-Jan-25,125,44.14,8.56,App,5.1,Failed,46.3
Japan,Tokyo,CS-5233,DC Fast,Tesla Model 3,Tesla,60,25-Feb-25,25-Feb-25,175,43.68,15.67,App,3.5,Failed,85
China,Shenzhen,CS-3497,DC Fast,Renault Zoe,Renault,52,31-Jan-25,31-Jan-25,172,45.08,16.77,Subscription,20.1,Failed,26.1
Norway,Oslo,CS-5997,Level 2,Chevy Bolt,Chevrolet,66,30-Jan-25,30-Jan-25,53,50.53,16.66,App,7.7,Completed,60.7
Canada,Vancouver,CS-2564,Level 1,Hyundai Kona Electric,Hyundai,64,4-Apr-25,4-Apr-25,180,14.47,4.43,App,4.5,Completed,25.4
France,Lyon,CS-1776,DC Fast,Kia EV6,Kia,77,3-Feb-25,3-Feb-25,139,45.31,10.46,Card,3.1,Aborted,20.9
China,Shanghai,CS-3972,DC Fast,Renault Zoe,Renault,52,26-Jan-25,26-Jan-25,60,35.28,3.97,App,26.3,Completed,78.8
Germany,Munich,CS-6342,Level 2,BYD Han,BYD,76,15-Jan-25,15-Jan-25,91,66.57,24.64,App,21.9,Completed,41.8
UK,London,CS-7412,DC Fast,Nissan Leaf,Nissan,40,16-Mar-25,16-Mar-25,161,30.71,11.67,Subscription,28.2,Failed,30.1
Germany,Berlin,CS-4947,DC Fast,BYD Han,BYD,76,26-Jan-25,26-Jan-25,46,59.9,11.62,Subscription,10.6,Failed,69.5
Canada,Toronto,CS-7627,Level 2,BMW i3,BMW,42,24-Feb-25,24-Feb-25,42,11.48,4.49,App,5.2,Failed,14.5
Japan,Osaka,CS-7480,Level 1,Nissan Leaf,Nissan,40,3-Apr-25,3-Apr-25,96,24.1,5.84,App,30.2,Completed,39
India,Delhi,CS-5870,DC Fast,Tesla Model 3,Tesla,60,1-Apr-25,1-Apr-25,180,58.17,16.39,Subscription,27,Completed,65.3
France,Lyon,CS-8667,Level 2,Renault Zoe,Renault,52,2-Feb-25,2-Feb-25,113,19.54,7.57,Subscription,-0.1,Completed,78.6
Canada,Toronto,CS-7784,Level 1,Porsche Taycan,Porsche,93,3-Feb-25,4-Feb-25,80,31.48,11.99,App,3.4,Completed,83.3
India,Bangalore,CS-5947,Level 2,Porsche Taycan,Porsche,93,15-Feb-25,15-Feb-25,23,29.12,3.61,App,24.5,Aborted,67.4
Germany,Berlin,CS-2670,DC Fast,Hyundai Kona Electric,Hyundai,64,14-Feb-25,14-Feb-25,144,8.92,2.02,Subscription,24.5,Aborted,65.6
USA,San Francisco,CS-5330,Level 1,BMW i3,BMW,42,1-Feb-25,1-Feb-25,176,21.41,6.26,App,3,Aborted,35.1
Germany,Berlin,CS-9902,DC Fast,BMW i3,BMW,42,29-Mar-25,29-Mar-25,78,24.11,9.42,Card,28.9,Failed,42.8
India,Delhi,CS-3125,Level 2,Kia EV6,Kia,77,6-Mar-25,6-Mar-25,49,23.77,7.28,App,2.9,Aborted,39.4
Canada,Vancouver,CS-8122,DC Fast,BYD Han,BYD,76,20-Mar-25,20-Mar-25,72,6.47,0.69,Subscription,19.5,Completed,82.5
Norway,Oslo,CS-7933,DC Fast,Hyundai Kona Electric,Hyundai,64,28-Feb-25,28-Feb-25,58,7.94,2.27,App,1,Aborted,23.6
